NAME,AGE,SEX,MARITIAL STATUS,ADHAAR CARD NO.,PAN CARD NO.,ADDRESS,PHONE NO.,POLICY CODE,POLICY NAME,POLICY EXPIRY YEAR,INSURANCE AMOUNT,NOMINEE NAME,NOMINEE RELATION,NOMINEE NO.
Seetalakshi Devi,26,Female,MARRIED,1201 2356 5263,XVERT4523S,"PLOT 6,HOUSE NO 2, SECTOR 32,AMBALA",6230121063,302,LIC JEEVAN BEEMA-22,2050,10000000,Ramesh Pathak,HUSBAND,9564854754
Samantha Ruth ,21,Female,MARRIED,3526 6325 5235,POILK5210A,"C-32, DELTA 1, SECTOR 12, GREATER NOIDA",7050260301,302,LIC JEEVAN BEEMA-22,2046,10000000,Uday Chopra,HUSBAND,8548545798
Parul Aggarwal,36,Female,UNMARRIED,9685 6565 9320,QPTUY2036A,"12/7, BUILDING 2, SITE 5, GAZAIBAD",9802163501,302,LIC JEEVAN BEEMA-22,2031,10000000,Ramesh Pathak,FATHER,9689203012
Purva Rana,54,Female,UNMARRIED,7412 4562 5236,PLOIP2098B,"123-A, POCKET 2, MVS, MANAGALORE",9203023020,302,LIC JEEVAN BEEMA-22,2019,10000000,Chinmay Chaudhary ,FATHER,9685452000
Somitra Rana,24,Male,UNMARRIED,8780 4625 2020 ,QWERT7458U,"709, T-5, GAUR CITY, JAIPUR",9852635241,302,LIC JEEVAN BEEMA-22,2014,10000000,Mamata Sukla,MOTHER,8974568215
Sunil,23,Male,UNMARRIED,9696 3639 1520 ,WSTHS9620P,"21/5, SITE 2, CUTTUCK ",7968521541,302,LIC JEEVAN BEEMA-22,2020,10000000,Meenakshi Tyagi,MOTHER,8549657845
Rajeeva,45,Male,MARRIED,1230 4568 7485,SXTGH4520Q,"42, BAZAAR ROAD, HIRAKUD",7206321348,302,LIC JEEVAN BEEMA-22,2063,10000000,Rani Mukkerjee,HUSBAND,8595684582
Kartik,56,Male,MARRIED,9865 1500 2456,POLAD1039T,"21, HOUSE 2, LANE 5, AGRA",9658563363,302,LIC JEEVAN BEEMA-22,2029,10000000,Shilpa Sen,HUSBAND,8252101520
Suraaj ,90,Male,MARRIED,1425 6352 9689,POGHT60325,"12/7, KETAN VIHAR, RANCHI",7152416235,302,LIC JEEVAN BEEMA-22,2046,10000000,Ranika Chatopadhaya,HUSBAND,6235629282
Malik,30,Male,MARRIED,5623 2013 1425,WEDRT7458I,"1A, FIRESTATION ROAD , GWALIOR",9868596826,302,LIC JEEVAN BEEMA-22,2045,10000000,Sanjeevani,WIFE,9868520162
Sushant,56,Male,MARRIED,8956 4125 2635,ASXAA4526O,"21, PHASE 2, TIRUVANATHPURAM",9685421536,303,LIC JEEVAN BEEMA-23,2070,5000000,Kirti ,WIFE,8245956325
Rahul,31,Male,MARRIED,2030 1021 6548,ASZSD36251,"41, VVIP APPT, NAVI MUMBAI",9632021201,303,LIC JEEVAN BEEMA-23,2026,5000000,Sonali ,WIFE,8457420465
Ravi ,24,Male,UNMARRIED,7895 4569 4125,KOLPA4586F,"21A, COVERT SQUARE, AHEMDABAD",6232012014,303,LIC JEEVAN BEEMA-23,2030,5000000,Shikha,MOTHER,9854281254
Ketan,25,Male,UNMARRIED,4103 1210 1251,COPAS9568R,"11,LANE 2, DELHI",7548695352,303,LIC JEEVAN BEEMA-23,2016,5000000,Komal ,MOTHER,7865495232
Sonali ,22,Female,UNMARRIED,1426 5263 2514 ,POIU7895Q,"46/3 BUILDING C, SUCHITRA APPT. GREATER NOIDA",8568695654,303,LIC JEEVAN BEEMA-23,2065,5000000,Rajeev,FATHER,9586854852
Sheena,26,Female,UNMARRIED,4152 6325 5689 ,TYHUG56822,"PLOT 2S,SECTOR 71, CHANDIGARH",7458415241,303,LIC JEEVAN BEEMA-23,2070,5000000,Tiru,FATHER,9865201452
Rani,24,Female,MARRIED,8547 4596 6546 ,POITY4021Y,"42, BAZAAR ROAD, HIRAKUD",7548685952,303,LIC JEEVAN BEEMA-23,2031,5000000,Gaurav,HUSBAND,9635214025
Kritivij,21,Female,MARRIED,4587 4125 2365 ,PLOIA2300L,"21, HOUSE 2, LANE 5, AGRA",7457486859,303,LIC JEEVAN BEEMA-23,2029,5000000,Shivaaji,HUSBAND,8564958648
Priyanka,30,Female,MARRIED,1245 1425 3602,PLOKI12344,"12/7, KETAN VIHAR, RANCHI",7458251262,303,LIC JEEVAN BEEMA-23,2025,5000000,Adinarayaan,HUSBAND,8457692513
Raju ,25,Male,MARRIED,4526 1235 2356 ,QWASA4512L,"1A, FIRESTATION ROAD , GWALIOR",9421515424,303,LIC JEEVAN BEEMA-23,2027,5000000,Purva,WIFE,6362635269
Jobin,28,Male,MARRIED,4578 9658 6235,WTSYH493S2,"21, PHASE 2, TIRUVANATHPURAM",9632652631,501,LIC TERM COVER,2027,500000,Harshita,WIFE,6595682662
Himanshu,35,Male,MARRIED,4152 7459 6320 ,HJJSD2012S,"PLOT 21, SECTOR 21, NOIDA,UP",9030602502,501,LIC TERM COVER,2028,500000,Rinki ,WIFE,9568485712
Jerry ,42,Male,MARRIED,1200 3002 1200,POIUN1245O,"FLAT 45A, SECTOR 62,NOIDA, UP",6356965326,501,LIC TERM COVER,2089,500000,Surbhijyoti ,WIFE,9563256157
Josheph,71,Male,MARRIED,7874 4859 4568,ABCGD7483I,"PLOT A, SECTOR 27, NOIDA,UP",9868952415,501,LIC TERM COVER,2023,500000,Mohini,WIFE,9856745812
Purva,26,Female,MARRIED,1234 5636 4356 ,OIJLT7458O,"701,BUILDING B,MVR,MUMBAI",9685485745,501,LIC TERM COVER,2024,500000,Raju ,HUSBAND,9856214521
